location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20130621T0200,14.040245
20130621T0300,13.870245
20130621T0400,13.840245
20130621T0500,15.020246
20130621T0600,16.000246
20130621T0700,17.320246
20130621T0800,18.450245
20130621T0900,19.380245
20130621T1000,20.060246
20130621T1100,20.730246
20130621T1200,21.210245
20130621T1300,21.700245
20130621T1400,22.230246
20130621T1500,22.250246
20130621T1600,21.620245
20130621T1700,21.000246
20130621T1800,20.480246
20130621T1900,19.560246
20130621T2000,18.670246
20130621T2100,17.940245
20130621T2200,17.240246
20130621T2300,16.780245
20120621T0000,16.730246
20120621T0100,16.180246
20120621T0200,15.650246
20120621T0300,15.110246
20120621T0400,15.610246
20120621T0500,16.420246
20120621T0600,17.170246
20120621T0700,18.200245
20120621T0800,19.430244
20120621T0900,21.250246
20120621T1000,22.990246
20120621T1100,24.190245
20120621T1200,25.380245
20120621T1300,26.470245
20120621T1400,27.320246
20120621T1500,27.670246
20120621T1600,26.320246
20120621T1700,22.830246
20120621T1800,20.150246
20120621T1900,18.840246
20120621T2000,18.580246
20120621T2100,17.660246
20120621T2200,18.130245
20120621T2300,17.690245
20110621T0000,15.750245
20110621T0100,15.340245
20110621T0200,14.890245
20110621T0300,14.790245
20110621T0400,14.860246
20110621T0500,16.290245
20110621T0600,18.240246
20110621T0700,20.200245
20110621T0800,21.840246
20110621T0900,23.610245
20110621T1000,25.410246
20110621T1100,26.770245
20110621T1200,28.030245
20110621T1300,28.650246
20110621T1400,29.110245
20110621T1500,28.570246
20110621T1600,28.020245
20110621T1700,26.750246
20110621T1800,25.600245
20110621T1900,23.960245
20110621T2000,22.140245
20110621T2100,20.810246
20110621T2200,20.660246
20110621T2300,20.310246
20100621T0000,10.670245
20100621T0100,10.550245
20100621T0200,10.120245
20100621T0300,9.890245
20100621T0400,9.8102455
20100621T0500,10.190246
20100621T0600,10.990245
20100621T0700,12.300245
20100621T0800,13.390245
20100621T0900,14.070246
20100621T1000,14.710245
20100621T1100,15.050245
20100621T1200,15.280245
20100621T1300,15.8102455
20100621T1400,15.950245
20100621T1500,16.190247
20100621T1600,16.500246
20100621T1700,16.260246
20100621T1800,15.480246
20100621T1900,14.730246
20100621T2000,13.510245
20100621T2100,12.680245
20100621T2200,12.300245
20100621T2300,11.770246
20090621T0000,12.070246
20090621T0100,11.630245
20090621T0200,10.280245
20090621T0300,10.340245
20090621T0400,10.370245
20090621T0500,11.460245
20090621T0600,12.700245
20090621T0700,13.900246
20090621T0800,15.090245
20090621T0900,16.290245
20090621T1000,16.520247
20090621T1100,17.090246
20090621T1200,17.510244
20090621T1300,18.260244
20090621T1400,18.350245
20090621T1500,18.000246
20090621T1600,17.900246
20090621T1700,16.980246
20090621T1800,16.420246
20090621T1900,15.070246
20090621T2000,14.210245
20090621T2100,13.610246
20090621T2200,13.350245
20090621T2300,13.080245
20080621T0000,16.620245
20080621T0100,16.120245
20080621T0200,15.500245
20080621T0300,15.260245
20080621T0400,15.470245
20080621T0500,16.650246
20080621T0600,18.520245
20080621T0700,20.390245
20080621T0800,22.310246
20080621T0900,23.840246
20080621T1000,25.240246
20080621T1100,26.410246
20080621T1200,27.330246
20080621T1300,27.780245
20080621T1400,28.570246
20080621T1500,28.890245
20080621T1600,28.980246
20080621T1700,28.700245
20080621T1800,27.590246
20080621T1900,24.630245
20080621T2000,21.790245
20080621T2100,20.550245
20080621T2200,19.980246
20080621T2300,18.910246
20070621T0000,19.360245
20070621T0100,18.800245
20070621T0200,18.430244
20070621T0300,18.360245
20070621T0400,18.050245
20070621T0500,18.090246
20070621T0600,18.460245
20070621T0700,18.760244
20070621T0800,18.120245
20070621T0900,17.110245
20070621T1000,16.700245
20070621T1100,17.470245
20070621T1200,18.570246
20070621T1300,19.440245
20070621T1400,20.750246
20070621T1500,20.700245
20070621T1600,20.830246
20070621T1700,20.980246
20070621T1800,20.430244
20070621T1900,18.730246
20070621T2000,17.730246
20070621T2100,16.500246
20070621T2200,16.620245
20070621T2300,15.860246
20060621T0000,19.850245
20060621T0100,20.210245
20060621T0200,20.170246
20060621T0300,19.780245
20060621T0400,19.650246
20060621T0500,19.530245
20060621T0600,20.270245
20060621T0700,21.420246
20060621T0800,22.360245
20060621T0900,23.060246
20060621T1000,24.320246
20060621T1100,25.320246
20060621T1200,25.840246
20060621T1300,26.410246
20060621T1400,26.470245
20060621T1500,25.690245
20060621T1600,24.960245
20060621T1700,24.460245
20060621T1800,23.730246
20060621T1900,22.710245
20060621T2000,20.690245
20060621T2100,20.040245
20060621T2200,18.780245
20060621T2300,18.120245
20050621T0000,19.490246
20050621T0100,18.830246
20050621T0200,18.200245
20050621T0300,17.640245
20050621T0400,17.740246
20050621T0500,18.750246
20050621T0600,20.970245
20050621T0700,23.210245
20050621T0800,25.310246
20050621T0900,27.100245
20050621T1000,29.170246
20050621T1100,30.390245
20050621T1200,31.430244
20050621T1300,32.310246
20050621T1400,32.77025
20050621T1500,32.59025
20050621T1600,32.460247
20050621T1700,31.830246
20050621T1800,30.900246
20050621T1900,28.740246
20050621T2000,26.100245
20050621T2100,26.150246
20050621T2200,22.910246
20050621T2300,21.570246
20040621T0000,11.580245
20040621T0100,11.190246
20040621T0200,10.910245
20040621T0300,10.670245
20040621T0400,10.670245
20040621T0500,11.370245
20040621T0600,12.5602455
20040621T0700,14.040245
20040621T0800,15.110246
20040621T0900,16.180246
20040621T1000,17.030245
20040621T1100,17.370245
20040621T1200,18.320246
20040621T1300,18.740246
20040621T1400,19.640245
20040621T1500,20.430244
20040621T1600,20.020245
20040621T1700,19.530245
20040621T1800,18.820246
20040621T1900,17.910246
20040621T2000,16.790245
20040621T2100,15.260245
20040621T2200,14.640245
20040621T2300,14.530245
